From	To	Species	Gene Name
Q11107	176083	Caenorhabditis elegans	Zinc finger protein lin-13(lin-13)
Q9D103	68713	Mus musculus	interferon induced transmembrane protein 1(Ifitm1)
Q5KWK2	3183454	Geobacillus kaustophilus HTA426	GTP-binding protein(engB)
P50123	64017	Rattus norvegicus	glutamyl aminopeptidase(Enpep)
Q6PFH3	212123	Mus musculus	DDB1 and CUL4 associated factor 15(Dcaf15)
B4LRN7	6627462	Drosophila virilis	GJ17563 gene product from transcript GJ17563-RC(Dvir\GJ17563)
Q09315	175843	Caenorhabditis elegans	5'-nucleotidase(F25B5.3)
Q09316	175841	Caenorhabditis elegans	CDK5RAP1-like protein(F25B5.5)
Q09317	185245	Caenorhabditis elegans	hypothetical protein(F34H10.4)
Q73R11	2741599	Treponema denticola ATCC 35405	ABC transporter ATP-binding protein(TDE0282)
Q09307	181213	Caenorhabditis elegans	hypothetical protein(F19C6.2)
Q3U1D0	72635	Mus musculus	lines homolog 1(Lins1)
Q09309	174019	Caenorhabditis elegans	Retinoblastoma-binding protein homolog 5(rbbp-5)
O51680	1195592	Borrelia burgdorferi B31	valine--tRNA ligase(valS)
O26262	1470120	Methanothermobacter thermautotrophicus str. Delta H	peroxiredoxin(MTH_RS00720)
Q16595	2395	Homo sapiens	frataxin(FXN)
F7ASZ0	100385566	Callithrix jacchus	BTB domain containing 3(BTBD3)
Q9D0N7	110749	Mus musculus	chromatin assembly factor 1, subunit B (p60)(Chaf1b)
Q8CBH5	98682	Mus musculus	major facilitator superfamily domain containing 6(Mfsd6)
Q6PFE3	623474	Mus musculus	RAD54 homolog B (S. cerevisiae)(Rad54b)
Q0IHM1	780091	Xenopus tropicalis	major facilitator superfamily domain containing 2A(mfsd2a)
Q11130	2529	Homo sapiens	fucosyltransferase 7(FUT7)
Q11132	876883	Mycoplasma pneumoniae M129	methionine aminopeptidase(map)
Q11131	14347	Mus musculus	fucosyltransferase 7(Fut7)
Q8ECL7	1170809	Shewanella oneidensis MR-1	sugar oxidoreductase AgaO(agaO)
Q09326	94273	Rattus norvegicus	mannosyl (alpha-1,6-)-glycoprotein beta-1,2-N-acetylglucosaminyltransferase(Mgat2)
Q09324	14537	Mus musculus	glucosaminyl (N-acetyl) transferase 1, core 2(Gcnt1)
Q09321	174481	Caenorhabditis elegans	hypothetical protein(F42A8.1)
Q6L0V5	2844066	Picrophilus torridus DSM 9790	cobyric acid synthase(PTO_RS04295)
Q52657	928425	Rickettsia conorii str. Malish 7	outer membrane protein A(RC_RS06315)
Q09322	174483	Caenorhabditis elegans	hypothetical protein(F42A8.3)
P23074	6386687	Macaque simian foamy virus	Pol(pol)
Q12YW2	3997582	Methanococcoides burtonii DSM 6242	digeranylgeranylglycerophospholipid reductase(MBUR_RS01875)
Q11127	14345	Mus musculus	fucosyltransferase 4(Fut4)
Q9CP24	1243589	Pasteurella multocida subsp. multocida str. Pm70	zinc import ATP-binding protein ZnuC(znuC)
Q11125	180813	Caenorhabditis elegans	hypothetical protein(C03F11.4)
Q9KTB6	2614240	Vibrio cholerae O1 biovar El Tor str. N16961	ferrochelatase(hemH)
B5X3B2	100195226	Salmo salar	adipocyte plasma membrane associated protein(apmap)
Q88YN9	1062849	Lactobacillus plantarum WCFS1	(2-aminoethyl)phosphonate-pyruvate aminotransferase(phnW)
O26270	1470129	Methanothermobacter thermautotrophicus str. Delta H	phosphoribosylformylglycinamidine synthase(MTH_RS00765)
P50104	855033	Saccharomyces cerevisiae S288c	Stb4p(STB4)
P50102	855263	Saccharomyces cerevisiae S288c	ubiquitin-specific protease UBP8(UBP8)
Q6L0W5	2844074	Picrophilus torridus DSM 9790	DNA primase small subunit(PTO_RS04240)
P50108	851832	Saccharomyces cerevisiae S288c	alpha-1,6-mannosyltransferase(MNN10)
Q8UW64	100049434	Oryzias latipes	LMP2(psmb9)
Q8ML92	246638	Drosophila melanogaster	aveugle(ave)
P50101	855350	Saccharomyces cerevisiae S288c	ubiquitin-specific protease UBP15(UBP15)
Q525S7	2685152	Magnaporthe oryzae 70-15	SEY1(MGG_06979)
F1NY98	418525	Gallus gallus	Down syndrome cell adhesion molecule(DSCAM)
Q2GVT8	4394267	Chaetomium globosum CBS 148.51	hypothetical protein(CHGG_07916)
Q11118	2542472	Schizosaccharomyces pombe 972h-	p23 chaperone protein wos2(wos2)
B6A7Q3	100328634	Oryctolagus cuniculus	cyclin dependent kinase 14(CDK14)
Q9D113	52838	Mus musculus	DNL-type zinc finger(Dnlz)
Q9CP13	1243602	Pasteurella multocida subsp. multocida str. Pm70	cell division protein FtsK(PM_RS01305)
Q11115	182150	Caenorhabditis elegans	hypothetical protein(C03B1.9)
Q9D0P0	68177	Mus musculus	emopamil binding protein-like(Ebpl)
A7S2N8	5513886	Nematostella vectensis	hypothetical protein(NEMVEDRAFT_v1g184952)
Q839F1	1199114	Enterococcus faecalis V583	30S ribosomal protein S14(rpsN)
Q9D119	68701	Mus musculus	protein phosphatase 1, regulatory subunit 27(Ppp1r27)
C4WXC1	100162923	Acyrthosiphon pisum	anamorsin homolog(LOC100162923)
Q0U4Z8	5980293	Parastagonospora nodorum SN15	hypothetical protein(SNOG_13166)
Q09346	187901	Caenorhabditis elegans	hypothetical protein(R144.5)
P58727	493698	Felis catus	toll like receptor 4(TLR4)
Q09345	246008	Caenorhabditis elegans	Polyadenylation and cleavage factor homolog 11(pcf-11)
Q29RK9	540817	Bos taurus	MOB kinase activator 3B(MOB3B)
Q09349	174295	Caenorhabditis elegans	Probable ubiquitin conjugation factor E4(ufd-2)
Q8UVV7	374264	Gallus gallus	limb and CNS expressed 1(LIX1)
B0R4J3	5952757	Halobacterium salinarum R1	hypothetical protein(OE_RS03735)
B0R4J5	5952759	Halobacterium salinarum R1	chemotaxis protein CheR(OE_RS03745)
Q0II04	74103	Mus musculus	nebulette(Nebl)
Q29RK2	338471	Bos taurus	pyruvate carboxylase(PC)
Q69DJ1	102415159	Bubalus bubalis	solute carrier family 26 member 2(SLC26A2)
Q6L150	2845296	Picrophilus torridus DSM 9790	IF-5A(PTO_RS03790)
Q29RK4	530189	Bos taurus	RAD23 homolog B, nucleotide excision repair protein(RAD23B)
Q9Z5K4	908644	Mycobacterium leprae TN	thioesterase(ML2359)
Q29RL1	513096	Bos taurus	cilia and flagella associated protein 206(CFAP206)
Q29RL0	511062	Bos taurus	TBC1 domain family member 31(TBC1D31)
A5VJH1	5189344	Lactobacillus reuteri DSM 20016	argininosuccinate synthase(LREU_RS03925)
Q8ECR0	1170759	Shewanella oneidensis MR-1	bifunctional 5-methylaminomethyl-2-thiouridine biosynthesis protein MnmC(mnmC)
A4RN08	2678216	Magnaporthe oryzae 70-15	ATP-dependent DNA helicase MPH1(MGG_04429)
O95025	223117	Homo sapiens	semaphorin 3D(SEMA3D)
Q9D142	66174	Mus musculus	nudix (nucleoside diphosphate linked moiety X)-type motif 14(Nudt14)
A5VJH9	5190086	Lactobacillus reuteri DSM 20016	DNA repair protein RecO(LREU_RS03965)
O76840	179162	Caenorhabditis elegans	Papilin(mig-6)
Q7T2A5	406402	Danio rerio	eukaryotic translation initiation factor 3, subunit 6 interacting protein(eif3s6ip)
Q9D0S4	415115	Mus musculus	neuralized E3 ubiquitin protein ligase 2(Neurl2)
Q09354	188540	Caenorhabditis elegans	hypothetical protein(T15H9.4)
Q09357	191526	Caenorhabditis elegans	Methyltransferase-like protein 16 homolog(mett-10)
Q09356	174503	Caenorhabditis elegans	hypothetical protein(T19H5.4)
Q09359	174519	Caenorhabditis elegans	hypothetical protein(ZK1307.1)
Q88Z64	1061480	Lactobacillus plantarum WCFS1	deoxyribose-phosphate aldolase(deoC)
Q69DK8	397274	Sus scrofa	complement component 1, s subcomponent(C1S)
P62597	404538	Gallus gallus	protection of telomeres 1(POT1)
Q29RL9	505722	Bos taurus	transcription elongation factor A1(TCEA1)
P29762	1381	Homo sapiens	cellular retinoic acid binding protein 1(CRABP1)
Q09351	188322	Caenorhabditis elegans	hypothetical protein(T09B9.5)
Q29RM2	534006	Bos taurus	family with sequence similarity 53 member C(FAM53C)
Q73YS9	2717833	Mycobacterium avium subsp. paratuberculosis K-10	L-cysteine:1D-myo-inositol 2-amino-2-deoxy-alpha-D-glucopyranoside ligase(MAP_RS09520)
P29758	18242	Mus musculus	ornithine aminotransferase(Oat)
Q6PFD9	269966	Mus musculus	nucleoporin 98(Nup98)
P29755	11608	Mus musculus	angiotensin II receptor, type 1b(Agtr1b)
P50170	299511	Rattus norvegicus	retinol dehydrogenase 16 (all-trans)(Rdh16)
B6YST9	7017795	Thermococcus onnurineus NA1	leucyl-tRNA synthetase(leuS)
Q2QD80	3429373	Cucumis sativus	acetyl-CoA carboxylase beta subunit(accD)
Q9D0R4	52513	Mus musculus	DEAD (Asp-Glu-Ala-Asp) box polypeptide 56(Ddx56)
Q9D0R2	110960	Mus musculus	threonyl-tRNA synthetase(Tars)
Q11174	180628	Caenorhabditis elegans	Probable endochitinase(cht-1)
Q29RI9	614177	Bos taurus	methionine adenosyltransferase 2B(MAT2B)
Q90WD0	374197	Gallus gallus	ARP3 actin-related protein 3 homolog (yeast)(ACTR3)
Q09369	174537	Caenorhabditis elegans	Putative aquaporin-10(aqp-10)
P50133	397675	Sus scrofa	parathyroid hormone 1 receptor(PTH1R)
Q09363	174517	Caenorhabditis elegans	Probable glucuronosyltransferase sqv-8(sqv-8)
Q69DL0	445461	Sus scrofa	complement C1q A chain(C1QA)
Q8UVX0	368200	Danio rerio	piwi-like RNA-mediated gene silencing 1(piwil1)
Q0IHQ9	780077	Xenopus tropicalis	2-phosphoxylose phosphatase 1(pxylp1)
Q0II24	523616	Bos taurus	C1q and tumor necrosis factor related protein 9(C1QTNF9)
Q0II26	520979	Bos taurus	aminoacyl tRNA synthetase complex interacting multifunctional protein 2(AIMP2)
Q6ICH7	57168	Homo sapiens	aspartate beta-hydroxylase domain containing 2(ASPHD2)
Q27IV2	734194	Xenopus laevis	shroom family member 3 L homeolog(shroom3.L)
Q73QI7	2740753	Treponema denticola ATCC 35405	pyridoxal biosynthesis lyase PdxS(TDE0456)
Q9D0U6	68877	Mus musculus	MAF1 homolog, negative regulator of RNA polymerase III(Maf1)
Q9MZD1	443098	Ovis aries	solute carrier family 17 member 5(SLC17A5)
Q9D162	68597	Mus musculus	coiled-coil domain containing 167(Ccdc167)
Q5KWI6	3186906	Geobacillus kaustophilus HTA426	non-canonical purine NTP pyrophosphatase(GK_RS13680)
P93043	837340	Arabidopsis thaliana	vacuolar protein sorting 41(VPS41)
Q32CU6	3795517	Shigella dysenteriae Sd197	O-methyltransferase(yfiC)
Q09377	174609	Caenorhabditis elegans	Protein lin-56(lin-56)
P50143	380506	Xenopus laevis	chaperonin containing TCP1 subunit 3 L homeolog(cct3.L)
C4V6H6	9423888	Nosema ceranae BRL01	hypothetical protein(NCER_100004)
Q29RJ2	529002	Bos taurus	TBC1 domain family member 24(TBC1D24)
Q73QJ5	2740430	Treponema denticola ATCC 35405	2-deoxyribose-5-phosphate aldolase(deoC)
Q09372	3564830	Caenorhabditis elegans	hypothetical protein(ZK177.4)
P29786	5569681	Aedes aegypti	AAEL007818-PA(TRY3_AEDAE)
Q09370	173938	Caenorhabditis elegans	hypothetical protein(ZK177.1)
Q94L32	3768737	Arabidopsis thaliana	miscRNA(NMT2)
A8SMG2	100126817	Bos taurus	testis expressed 43(TEX43)
Q27J81	64423	Homo sapiens	inverted formin, FH2 and WH2 domain containing(INF2)
A6L4Y5	5304076	Bacteroides vulgatus ATCC 8482	cobyric acid synthase(BVU_RS15705)
Q9KTE4	2614211	Vibrio cholerae O1 biovar El Tor str. N16961	apolipoprotein N-acyltransferase(lnt)
A7RR34	5518189	Nematostella vectensis	hypothetical protein(NEMVEDRAFT_v1g200856)
Q6ICI0	255349	Homo sapiens	transmembrane protein 211(TMEM211)
E7FAM5	561754	Danio rerio	tripartite motif containing 71, E3 ubiquitin protein ligase(trim71)
Q9CP53	1243554	Pasteurella multocida subsp. multocida str. Pm70	DNA topoisomerase 3(PM_RS01050)
Q9D0T2	80915	Mus musculus	dual specificity phosphatase 12(Dusp12)
Q8UVJ6	245949	Danio rerio	VANGL planar cell polarity protein 2(vangl2)
Q8UVJ7	414847	Gallus gallus	cadherin related family member 1(CDHR1)
Q11188	175911	Caenorhabditis elegans	hypothetical protein(C05D11.9)
Q11189	175912	Caenorhabditis elegans	28S ribosomal protein S17, mitochondrial(mrps-17)
A6RW56	5437409	Botrytis cinerea B05.10	hypothetical protein(BC1G_04843)
Q6L1B1	2844283	Picrophilus torridus DSM 9790	50S ribosomal protein L6(PTO_RS03475)
A6S7T2	5433113	Botrytis cinerea B05.10	hypothetical protein(BC1G_09064)
A4GT88	100101570	Oryctolagus cuniculus	deiodinase, iodothyronine type I(DIO1)
P15975	99526	Mus musculus	ubiquitin specific peptidase 53(Usp53)
P19516	855971	Saccharomyces cerevisiae S288c	Cox11p(COX11)
P93024	838573	Arabidopsis thaliana	Transcriptional factor B3 family protein / auxin-responsive factor AUX/IAA-like protein(MP)
P84169	422989	Gallus gallus	proteasome (prosome, macropain) 26S subunit, non-ATPase, 13(LOC422989)
Q8CBR6	244152	Mus musculus	tsukushi, small leucine rich proteoglycan(Tsku)
A2QUR1	4984185	Aspergillus niger CBS 513.88	phosphatidylinositol transfer protein sfh5(ANI_1_844084)
O95069	3776	Homo sapiens	potassium two pore domain channel subfamily K member 2(KCNK2)
Q9D0G0	59054	Mus musculus	mitochondrial ribosomal protein S30(Mrps30)
P0CO45	4935737	Cryptococcus neoformans var. neoformans B-3501A	hypothetical protein(CNBD3480)
P19524	854504	Saccharomyces cerevisiae S288c	myosin 2(MYO2)
O14514	575	Homo sapiens	adhesion G protein-coupled receptor B1(ADGRB1)
O14513	344148	Homo sapiens	NCK associated protein 5(NCKAP5)
O14512	30837	Homo sapiens	suppressor of cytokine signaling 7(SOCS7)
P0CO41	4937452	Cryptococcus neoformans var. neoformans B-3501A	hypothetical protein(CNBG4160)
O14511	9542	Homo sapiens	neuregulin 2(NRG2)
P58766	832609	Arabidopsis thaliana	phospholipase D alpha 3(PLDALPHA3)
Q9D0F6	72151	Mus musculus	replication factor C (activator 1) 5(Rfc5)
O95071	51366	Homo sapiens	ubiquitin protein ligase E3 component n-recognin 5(UBR5)
Q6PG04	66396	Mus musculus	coiled-coil domain containing 82(Ccdc82)
A2QUS7	4984201	Aspergillus niger CBS 513.88	DNA-directed RNA polymerase III subunit RPC-3(ANI_1_870084)
A2SPK0	4794672	Methanocorpusculum labreanum Z	glutamine amidotransferase(MLAB_RS00420)
P84157	439921	Homo sapiens	matrix remodeling associated 7(MXRA7)
Q11179	175857	Caenorhabditis elegans	Mitogen-activated protein kinase(C05D10.2)
Q6PFQ2	334234	Danio rerio	eukaryotic translation initiation factor 3, subunit C(eif3c)
P29717	3636837	Candida albicans SC5314	glucan 1,3-beta-glucosidase similar to S. cerevisiae EXG1 (YLR300W)(XOG1)
Q0E589	4306179	Spodoptera frugiperda ascovirus 1a	28.2 kDa(ORF012)
Q88YI7	1063752	Lactobacillus plantarum WCFS1	excinuclease ABC subunit A(uvrA1)
C5CCH2	7985858	Micrococcus luteus NCTC 2665	aspartate--tRNA(Asp/Asn) ligase(MLUT_RS17905)
D3ZJK7	365371	Rattus norvegicus	T-box 6(Tbx6)
P58751	24718	Rattus norvegicus	reelin(Reln)
Q9D0E1	76936	Mus musculus	heterogeneous nuclear ribonucleoprotein M(Hnrnpm)
P58753	114609	Homo sapiens	TIR domain containing adaptor protein(TIRAP)
A6L4J6	5303932	Bacteroides vulgatus ATCC 8482	recombination protein RecR(BVU_RS14980)
Q11180	175859	Caenorhabditis elegans	ABC transporter ATP-binding protein/permease wht-1(wht-1)
Q851R5	4334453	Oryza sativa Japonica Group	thioredoxin H2-2(LOC4334453)
Q90WG6	100135794	Oncorhynchus mykiss	cytidine monophosphate N-acetylneuraminic acid synthetase(cmas)
O14508	8835	Homo sapiens	suppressor of cytokine signaling 2(SOCS2)
Q6PFP6	393621	Danio rerio	NADPH dependent diflavin oxidoreductase 1(ndor1)
B7GFA5	7038058	Anoxybacillus flavithermus WK1	dihydroorotase(AFLV_RS09435)
Q20745	181480	Caenorhabditis elegans	Nuclear migration and anchoring protein unc-84(unc-84)
Q20748	174590	Caenorhabditis elegans	ATPase family AAA domain-containing protein 3(atad-3)
P19538	43767	Drosophila melanogaster	cubitus interruptus(ci)
P93002	842733	Arabidopsis thaliana	regulatory protein (NPR1)(NPR1)
Q9D0I4	67727	Mus musculus	syntaxin 17(Stx17)
Q8CC12	68968	Mus musculus	congenital dyserythropoietic anemia, type I (human)(Cdan1)
P62509	26381	Mus musculus	estrogen-related receptor gamma(Esrrg)
P93008	817938	Arabidopsis thaliana	P-loop containing nucleoside triphosphate hydrolases superfamily protein(AT2G33730)
Q8MKN0	246650	Drosophila melanogaster	CG30493 gene product from transcript CG30493-RB(CG30493)
Q2QCI8	566632	Danio rerio	mediator complex subunit 12(med12)
P62506	3361356	Schizosaccharomyces pombe 972h-	mitochondrial ribosomal protein subunit l44 (predicted)(mrpl44)
P0CO20	3256248	Cryptococcus neoformans var. neoformans JEC21	mannose-1-phosphate guanylyltransferase(CNC03020)
P58742	223921	Mus musculus	achalasia, adrenocortical insufficiency, alacrimia(Aaas)
P58743	375611	Homo sapiens	solute carrier family 26 member 5(SLC26A5)
A6UBM6	5323085	Sinorhizobium medicae WSM419	L-threonine 3-dehydrogenase(tdh)
P62501	498545	Rattus norvegicus	TSC22 domain family, member 1(Tsc22d1)
Q6PFM4	337509	Danio rerio	limb and neural patterns b(lnpb)
Q5NBJ3	4326261	Oryza sativa Japonica Group	DNA gyrase subunit B, chloroplastic/mitochondrial(LOC4326261)
P15948	13646	Mus musculus	kallikrein 1-related peptidase b22(Klk1b22)
Q20757	174373	Caenorhabditis elegans	Pumilio domain-containing protein 5(puf-5)
A4RMB1	2681738	Magnaporthe oryzae 70-15	exportin-T(MGG_10127)
Q3U1J4	13194	Mus musculus	damage specific DNA binding protein 1(Ddb1)
Q071E0	751629	Danio rerio	SET domain containing (lysine methyltransferase) 8a(setd8a)
Q5E4H8	3278835	Vibrio fischeri ES114	DNA transformation protein TfoX2 (Sxy)(tfoX2)
Q00M95	483332	Canis lupus familiaris	rhomboid 5 homolog 2(RHBDF2)
P19525	5610	Homo sapiens	eukaryotic translation initiation factor 2 alpha kinase 2(EIF2AK2)
P15941	4582	Homo sapiens	mucin 1, cell surface associated(MUC1)
B5X3I6	100196615	Salmo salar	Tetraspanin-9(tsn9)
Q6DN90	9922	Homo sapiens	IQ motif and Sec7 domain 1(IQSEC1)
O14522	11122	Homo sapiens	protein tyrosine phosphatase, receptor type T(PTPRT)
O14524	23306	Homo sapiens	nuclear envelope integral membrane protein 1(NEMP1)
O14523	9854	Homo sapiens	C2CD2 like(C2CD2L)
Q1HQF2	5567360	Aedes aegypti	AAEL006029-PA(DCTN2_AEDAE)
O14526	23149	Homo sapiens	FCH domain only 1(FCHO1)
P0CO33	4935299	Cryptococcus neoformans var. neoformans B-3501A	hypothetical protein(CNBC6320)
P29742	32537	Drosophila melanogaster	Clathrin heavy chain(Chc)
O14525	460	Homo sapiens	astrotactin 1(ASTN1)
O14529	23316	Homo sapiens	cut like homeobox 2(CUX2)
Q6FWN4	2886825	Candida glabrata CBS 138	hypothetical protein(CAGL0C04235g)
O23193	829844	Arabidopsis thaliana	Cystathionine beta-synthase (CBS) family protein(LEJ2)
O14562	56061	Homo sapiens	ubiquitin family domain containing 1(UBFD1)
P15935	14564299	Clostridium perfringens	bacteriocin(uviAB)
Q9D0K0	67046	Mus musculus	TBC1 domain family, member 7(Tbc1d7)
B4KPU0	6580444	Drosophila mojavensis	GI18649 gene product from transcript GI18649-RA(Dmoj\GI18649)
Q20762	178037	Caenorhabditis elegans	hypothetical protein(F54D1.6)
A6L4N0	5303967	Bacteroides vulgatus ATCC 8482	2-aminoethylphosphonate--pyruvate aminotransferase(BVU_RS15155)
Q9PFB1	1126301	Xylella fastidiosa 9a5c	biofilm growth-associated repressor(XF_RS03240)
Q8SL86	14690218	Euglena viridis	RNA polymerase alpha subunit(rpoA)
Q9PFB2	1126300	Xylella fastidiosa 9a5c	membrane protein(XF_RS03235)
Q7T291	393393	Danio rerio	ADP-ribose/CDP-alcohol diphosphatase, manganese-dependent(adprm)
Q7T292	100535877	Danio rerio	solute carrier family 25 (mitochondrial iron transporter), member 28(slc25a28)
P15938	853961	Saccharomyces cerevisiae S288c	DEAH-box RNA helicase PRP16(PRP16)
B0UXP9	317745	Danio rerio	IMP (inosine 5'-monophosphate) dehydrogenase 2(impdh2)
O26290	1470149	Methanothermobacter thermautotrophicus str. Delta H	malate dehydrogenase(MTH_RS00860)
Q3U1G5	229504	Mus musculus	interferon stimulated exonuclease gene 20-like 2(Isg20l2)
P15937	3874501	Neurospora crassa OR74A	acetate utilization-8(acu-8)
Q8P8J8	998825	Xanthomonas campestris pv. campestris str. ATCC 33913	N-acetyl-gamma-glutamyl-phosphate reductase(argC)
A1C408	4708890	Aspergillus clavatus NRRL 1	3-hydroxyanthranilate 3,4-dioxygenase(ACLA_058050)
Q0U5F2	5980138	Parastagonospora nodorum SN15	hypothetical protein(SNOG_13012)
Q7T287	398657	Xenopus laevis	aprataxin L homeolog(aptx.L)
Q6PFK1	407728	Danio rerio	zinc finger protein 598(znf598)
Q90WJ3	398236	Xenopus laevis	pax interacting (with transcription-activation domain) protein 1 L homeolog(paxip1.L)
O14559	115703	Homo sapiens	Rho GTPase activating protein 33(ARHGAP33)
Q9PFB8	1126294	Xylella fastidiosa 9a5c	DNA mismatch repair protein MutL(mutL)
P15923	6929	Homo sapiens	transcription factor 3(TCF3)
P15924	1832	Homo sapiens	desmoplakin(DSP)
A2SPG1	4795690	Methanocorpusculum labreanum Z	aspartyl-tRNA synthetase(aspC)
B5X3C4	100195234	Salmo salar	Lissencephaly-1 homolog B(lis1b)
Q23424	173990	Caenorhabditis elegans	Transmembrane GTPase fzo-1(fzo-1)
P15920	21871	Mus musculus	ATPase, H+ transporting, lysosomal V0 subunit A2(Atp6v0a2)
B5X3C1	100195231	Salmo salar	galactosylceramidase(galc)
A3LN21	4837097	Scheffersomyces stipitis CBS 6054	hypothetical protein(PICST_40776)
Q0IHF9	779232	Xenopus laevis	store-operated calcium entry-associated regulatory factor L homeolog(saraf.L)
Q6PFM0	266962	Danio rerio	jumonji domain containing 6(jmjd6)
Q6PFM1	321541	Danio rerio	solute carrier family 20 (phosphate transporter), member 1b(slc20a1b)
Q8CC88	219189	Mus musculus	von Willebrand factor A domain containing 8(Vwa8)
Q84Q83	4332389	Oryza sativa Japonica Group	protein TOC75, chloroplastic(LOC4332389)
Q6FWL5	2886862	Candida glabrata CBS 138	hypothetical protein(CAGL0C04741g)
Q6PFL6	393631	Danio rerio	coiled-coil domain containing 43(ccdc43)
Q8CBX0	217733	Mus musculus	transmembrane protein 63c(Tmem63c)
O14545	10906	Homo sapiens	TRAF-type zinc finger domain containing 1(TRAFD1)
P58797	107307498	Coturnix japonica	nuclear RNA export factor 1(NXF1)
O69787	1232592	Sinorhizobium meliloti 1021	choline sulfatase(betC)
Q9D0M5	68097	Mus musculus	dynein light chain LC8-type 2(Dynll2)
Q20787	175787	Caenorhabditis elegans	Adenosine 3'-phospho 5'-phosphosulfate transporter 2(pst-2)
A3LN13	4836691	Scheffersomyces stipitis CBS 6054	YPL008W (CHL1)-like protein(CHL1)
Q6FWH9	2886874	Candida glabrata CBS 138	hypothetical protein(CAGL0C05533g)
Q5E4F2	3278805	Vibrio fischeri ES114	thymidine kinase(tdk)
Q0IHI6	779216	Xenopus laevis	mediator complex subunit 30 S homeolog(med30.S)
Q3TPE9	217473	Mus musculus	ankyrin repeat and MYND domain containing 2(Ankmy2)
Q0U5H7	5980114	Parastagonospora nodorum SN15	hypothetical protein(SNOG_12987)
Q0IHI3	779218	Xenopus laevis	ciliogenesis associated TTC17 interacting protein L homeolog(catip.L)
Q6FWI1	2886868	Candida glabrata CBS 138	hypothetical protein(CAGL0C05489g)
A6UC29	5323238	Sinorhizobium medicae WSM419	urease accessory protein UreG(Smed_2377)
O14578	11113	Homo sapiens	citron rho-interacting serine/threonine kinase(CIT)
O14579	11316	Homo sapiens	coatomer protein complex subunit epsilon(COPE)
P58780	397079	Sus scrofa	cat eye syndrome chromosome region, candidate 1(CECR1)
Q23400	174151	Caenorhabditis elegans	Probable RNA 3'-terminal phosphate cyclase-like protein(ZK1127.5)
A2SPE0	4794768	Methanocorpusculum labreanum Z	GTP cyclohydrolase(MLAB_RS00090)
O95072	9985	Homo sapiens	REC8 meiotic recombination protein(REC8)
Q12YR1	3996820	Methanococcoides burtonii DSM 6242	FAD synthase(MBUR_RS02170)
Q9MZL5	327667	Bos taurus	calcium voltage-gated channel auxiliary subunit beta 2(CACNB2)
E2RU81	5700403	Giardia lamblia ATCC 50803	Pyrophosphate-fructose 6-phosphate 1-phosphotransferase alpha subunit(GL50803_14993)
Q88YK2	1063666	Lactobacillus plantarum WCFS1	prolipoprotein diacylglyceryl transferase(lgt)
Q6PFJ9	327005	Danio rerio	ariadne ubiquitin-conjugating enzyme E2 binding protein homolog 1 (Drosophila)(arih1)
Q0IHH1	779222	Xenopus laevis	N(alpha)-acetyltransferase 30, NatC catalytic subunit S homeolog(naa30.S)
Q90WM5	654277	Takifugu rubripes	doublesex and mab-3 related transcription factor 3(dmrt3)
Q07065	10970	Homo sapiens	cytoskeleton associated protein 4(CKAP4)
Q8CHP8	67078	Mus musculus	phosphoglycolate phosphatase(Pgp)
Q8CI17	242125	Mus musculus	mab-21-like 3 (C. elegans)(Mab21l3)
P0CH03	10723091	Arabidopsis thaliana	RING/U-box superfamily protein(AT2G46493)
Q8CHP6	241915	Mus musculus	polyhomeotic-like 3 (Drosophila)(Phc3)
Q13474	1821	Homo sapiens	dystrophin related protein 2(DRP2)
Q6MTV5	2744589	Mycoplasma mycoides subsp. mycoides SC str. PG1	ribosome biogenesis GTP-binding protein YsxC(engB)
P91427	171965	Caenorhabditis elegans	Probable phosphoglycerate kinase(pgk-1)
O02323	191701	Caenorhabditis elegans	Fatty acid-binding protein homolog 7(lbp-7)
O67881	1193870	Aquifex aeolicus VF5	phosphoribosylaminoimidazole-succinocarboxamide synthase(purC)
O67883	1193872	Aquifex aeolicus VF5	thiamine monophosphate kinase(thiL)
A1A4Q2	526913	Bos taurus	prdX-deacylase domain-containing protein 1(PRORSD1)
Q13467	7855	Homo sapiens	frizzled class receptor 5(FZD5)
O67887	1193876	Aquifex aeolicus VF5	excinuclease ABC subunit C(uvrC)
Q5KWQ7	3185094	Geobacillus kaustophilus HTA426	transcriptional regulator(GK_RS13320)
O97788	399533	Sus scrofa	fatty acid binding protein 4, adipocyte(FABP4)
Q8CHP0	223642	Mus musculus	zinc finger CCCH type containing 3(Zc3h3)
Q10Q08	4332052	Oryza sativa Japonica Group	replication protein A 70 kDa DNA-binding subunit B(LOC4332052)
Q6BI82	2905001	Debaryomyces hansenii CBS767	DEHA2G12716p(DEHA2G12716g)
Q60631	14784	Mus musculus	growth factor receptor bound protein 2(Grb2)
O35601	23880	Mus musculus	FYN binding protein(Fyb)
Q07075	2028	Homo sapiens	glutamyl aminopeptidase(ENPEP)
O35600	11304	Mus musculus	ATP-binding cassette, sub-family A (ABC1), member 4(Abca4)
P81928	41720	Drosophila melanogaster	upstream of RpII140(140up)
A3LRH4	4838273	Scheffersomyces stipitis CBS 6054	hypothetical protein(PICST_30689)
Q60636	12142	Mus musculus	PR domain containing 1, with ZNF domain(Prdm1)
Q6MTW7	2745110	Mycoplasma mycoides subsp. mycoides SC str. PG1	30S ribosomal protein S4(rpsD)
